"cod_hito";"rpm";"limite_exigido";"frecuencia_exigida";"fecha_emision"
13744;535;"6 - 8,5";96;"03-07-2015"
13745;535;"6 - 8,5";96;"03-07-2015"
13746;535;"6 - 8,5";96;"03-07-2015"
13747;535;"6 - 8,5";96;"03-07-2015"
13748;535;"6 - 8,5";96;"03-07-2015"
13749;535;"6 - 8,5";96;"03-07-2015"
13750;535;"6 - 8,5";96;"03-07-2015"
13751;535;"6 - 8,5";96;"03-07-2015"
13752;535;"6 - 8,5";96;"03-07-2015"
13753;535;"6 - 8,5";96;"03-07-2015"
13754;535;"6 - 8,5";96;"03-07-2015"
13755;535;"6 - 8,5";96;"03-07-2015"
13756;535;"6 - 8,5";96;"03-07-2015"
13757;535;"6 - 8,5";96;"03-07-2015"
13758;535;"6 - 8,5";96;"03-07-2015"
13759;535;"6 - 8,5";96;"03-07-2015"
13760;535;"6 - 8,5";96;"03-07-2015"
13761;535;"6 - 8,5";96;"03-07-2015"
13762;535;"6 - 8,5";96;"03-07-2015"
13763;535;"6 - 8,5";96;"03-07-2015"
13764;535;"6 - 8,5";96;"03-07-2015"
13765;535;"6 - 8,5";96;"03-07-2015"
13766;535;"6 - 8,5";96;"03-07-2015"
13767;535;"6 - 8,5";96;"03-07-2015"
13768;535;"6 - 8,5";96;"03-07-2015"
13769;535;"6 - 8,5";96;"03-07-2015"
13770;535;"6 - 8,5";96;"03-07-2015"
13771;535;"6 - 8,5";96;"03-07-2015"
13772;535;"6 - 8,5";96;"03-07-2015"
13773;535;"6 - 8,5";96;"03-07-2015"
13774;535;"6 - 8,5";96;"03-07-2015"
13775;535;"6 - 8,5";96;"03-07-2015"
13776;535;"6 - 8,5";96;"03-07-2015"
13777;535;"6 - 8,5";96;"03-07-2015"
13778;535;"6 - 8,5";96;"03-07-2015"
13779;535;"6 - 8,5";96;"03-07-2015"
13780;535;"6 - 8,5";96;"03-07-2015"
13781;535;"6 - 8,5";96;"03-07-2015"
13782;535;"6 - 8,5";96;"03-07-2015"
13783;535;"6 - 8,5";96;"03-07-2015"
13784;535;"6 - 8,5";96;"03-07-2015"
13785;535;"6 - 8,5";96;"03-07-2015"
13786;535;"6 - 8,5";96;"03-07-2015"
13787;535;"6 - 8,5";96;"03-07-2015"
13788;535;"6 - 8,5";96;"03-07-2015"
13789;535;"6 - 8,5";96;"03-07-2015"
13790;535;"6 - 8,5";96;"03-07-2015"
13791;535;"6 - 8,5";96;"03-07-2015"
13792;535;"6 - 8,5";96;"03-07-2015"
13793;535;"6 - 8,5";96;"03-07-2015"
13794;535;"6 - 8,5";96;"03-07-2015"
13795;535;"6 - 8,5";96;"03-07-2015"
13796;535;"6 - 8,5";96;"03-07-2015"
13797;535;"6 - 8,5";96;"03-07-2015"
13798;535;"6 - 8,5";96;"03-07-2015"
13799;535;"6 - 8,5";96;"03-07-2015"
13800;535;"6 - 8,5";96;"03-07-2015"
13801;535;"6 - 8,5";96;"03-07-2015"
13802;535;"6 - 8,5";96;"03-07-2015"
13803;535;"6 - 8,5";96;"03-07-2015"
13804;535;"6 - 8,5";96;"03-07-2015"
13805;535;"6 - 8,5";96;"03-07-2015"
13806;535;"6 - 8,5";96;"03-07-2015"
13807;535;"6 - 8,5";96;"03-07-2015"
13808;535;"6 - 8,5";96;"03-07-2015"
13809;535;"6 - 8,5";96;"03-07-2015"
13810;535;"6 - 8,5";96;"03-07-2015"
13811;535;"6 - 8,5";96;"03-07-2015"
13812;535;"6 - 8,5";96;"03-07-2015"
13813;535;"6 - 8,5";96;"03-07-2015"
13814;535;"6 - 8,5";96;"03-07-2015"
13815;535;"6 - 8,5";96;"03-07-2015"
13816;535;"6 - 8,5";96;"03-07-2015"
