nombre_pais;clasificacion_2021
Alemania;ocde
Australia;ocde
Austria;ocde
Bélgica;ocde
Canadá;ocde
Chile;ocde
Colombia;ocde
Corea, Rep.;ocde
Dinamarca;ocde
Eslovenia;ocde
España;ocde
Estados Unidos;ocde
Estonia;ocde
Finlandia;ocde
Francia;ocde
Grecia;ocde
Hungría;ocde
Irlanda;ocde
Islandia;ocde
Israel;ocde
Italia;ocde
Japón;ocde
Letonia;ocde
Lituania;ocde
Luxemburgo;ocde
México;ocde
Noruega;ocde
Nueva Zelanda;ocde
Países Bajos;ocde
Polonia;ocde
Portugal;ocde
Reino Unido;ocde
República Checa;ocde
Eslovaquia;ocde
Suecia;ocde
Suiza;ocde
Turquía;ocde
